x,y,set,path
2.266126425359495,1.1897582238026048,B,25
2.1281946697076397,1.1919469195456731,B,26
1.9904017996417518,1.1853830361475537,B,27
1.8533026584164514,1.1700930040500093,B,28
1.7174492958851655,1.146138390815775,B,29
1.5833887455902094,1.113615653217714,B,30
1.4516608220517853,1.0726557488414352,B,31
1.3227959471254325,1.0234236087653201,B,32
1.1973130141804247,0.9661174734412772,B,33
1.0757172986993122,0.9009680944504128,B,34
0.9584984237118883,0.8282378053478574,B,35
0.8461283882560542,0.7482194653381227,B,36
0.7390596668042884,0.6612352800344548,B,37
0.6377233873086374,0.5676355040505441,B,38
0.5425275952006234,0.46779703064882194,B,39
0.4538556103363025,0.36212187412430774,B,40
0.37206448350249954,0.25103555103494,B,41
0.2974835586993052,0.13498536679657192,B,42
0.23041314698802995,0.014438614541943728,B,43
0.1711233172445501,-0.11011930650384172,B,44
0.11985280868726766,-0.2381868455546734,B,45
0.07680806955853603,-0.36924831983143525,B,46
0.04216242583045382,-0.502775991034544,B,47
0.016055383282350455,-0.6382321903598256,B,48
-0.0014079342397508299,-0.775071483501018,B,49
-0.010157208119758288,-0.9127428669212163,B,50
-0.010157208119758288,-1.0506919865496465,B,51
-0.0014079342397508299,-1.1883633699698448,B,52
0.016055383282350455,-1.3252026631110372,B,53
0.04216242583045382,-1.460658862436318,B,54
0.07680806955853603,-1.5941865336394274,B,55
0.11985280868726766,-1.7252480079161885,B,56
0.1711233172445501,-1.853315546967021,B,57
0.23041314698802973,-1.9778734680128056,B,58
0.29748355869930543,-2.0984202202674345,B,59
0.3720644835024993,-2.2144704045058017,B,60
0.45385561033630273,-2.3255567275951705,B,61
0.5425275952006232,-2.4312318841196836,B,62
0.6377233873086376,-2.531070357521407,B,63
0.7390596668042879,-2.624670133505317,B,64
0.8461283882560546,-2.711654318808985,B,65
0.9584984237118879,-2.7916726588187197,B,66
1.0757172986993135,-2.864402947921276,B,67
1.1973130141804251,-2.9295523269121397,B,68
1.3227959471254325,-2.9868584622361825,B,69
1.4516608220517848,-3.0360906023122975,B,70
1.5833887455902103,-3.0770505066885763,B,71
1.717449295885166,-3.1095732442866373,B,72
1.8533026584164514,-3.1335278575208716,B,73
1.9904017996417513,-3.1488178896184156,B,74
2.1281946697076406,-3.1553817730165354,B,75
2.266126425359495,-3.153193077273467,B,76
2.4036416640994607,-3.142260615494482,B,77
2.5401866605962775,-3.12262840884462,B,78
2.6752115963417613,-3.0943755092909946,B,79
2.80817277357587,-3.057615681288424,B,80
2.938534804565703,-3.0124969436901226,B,81
