"section","x","y","path"
"B_only",17.9805214059525,-4.29235463368662,13
"B_only",17.2509741946121,-5.243119070191,14
"B_only",16.4726676364235,-6.1543989661487,15
"B_only",15.6477350155632,-7.02369656670717,16
"B_only",14.7784374150048,-7.84862918756742,17
"B_only",13.8671575190471,-8.62693574575604,18
"B_only",12.9163930825427,-9.35648295709646,19
"B_only",12.1910520647271,-9.85554227506024,20
"B_only",12.1843738997036,-10.1098510404001,21
"B_only",12.0893856983329,-11.3167905745367,22
"B_only",11.9313613403445,-12.5171047416378,23
"B_only",11.7107339595195,-13.7075035640044,24
"B_only",11.428108280173,-14.8847242412079,25
"B_only",11.0842589596471,-16.0455400931996,26
"B_only",10.6801284650288,-17.1867694044167,27
"B_only",10.2168244899129,-18.3052841446429,28
"B_only",9.69561691829135,-19.3980185427222,29
"B_only",9.11793434388936,-20.4619774896247,30
"B_only",8.48536015448911,-21.4942447478316,31
"B_only",7.79962819197404,-22.4919909445403,32
"B_only",7.06261799998876,-23.4524813267781,33
"B_only",6.27634967224056,-24.3730832571701,34
"B_only",5.44297831556296,-25.2512734298154,35
"B_only",4.56478814291766,-26.084644786493,36
"B_only",3.64418621252565,-26.8709131142412,37
"B_only",2.68369583028787,-27.6079233062265,38
"B_only",1.68594963357917,-28.2936552687416,39
"B_only",0.653682375372235,-28.9262294581418,40
"B_only",-0.410276571530202,-29.5039120325438,41
"B_only",-1.39906239787938,-29.9761581066143,42
"B_only",-0.833312566263759,-30.2812805138764,43
"B_only",0.300648980881954,-30.8221524268854,44
"B_only",1.46136352190993,-31.3029361318229,45
"B_only",2.64564961894349,-31.7223138339724,46
"B_only",3.8502612261094,-32.0791360482029,47
"B_only",5.07189658672391,-32.3724247496276,48
"B_only",6.30720728317844,-32.6013760543022,49
"B_only",7.55280741471939,-32.7653624226147,50
"B_only",8.8052828779668,-32.8639343793282,51
"B_only",10.0612007247344,-32.896821745561,52
"B_only",11.3171185715021,-32.8639343793282,53
"B_only",12.5695940347495,-32.7653624226147,54
"B_only",13.8151941662904,-32.6013760543022,55
"B_only",15.0505048627449,-32.3724247496276,56
"B_only",16.2721402233595,-32.0791360482028,57
"B_only",17.4767518305254,-31.7223138339723,58
"B_only",18.6610379275589,-31.3029361318229,59
"B_only",19.8217524685869,-30.8221524268854,60
"B_only",20.9557140157326,-30.2812805138764,61
"B_only",22.059814459216,-29.6818028851137,62
"B_only",23.1310275364666,-29.0253626671087,63
"B_only",24.1664171268988,-28.3137591168704,64
"B_only",25.1631452996142,-27.5489426902669,65
"B_only",26.1184800919732,-26.7330096959618,66
"B_only",27.0298029977144,-25.8681965495778,67
"B_only",27.8946161440984,-24.9568736438366,68
"B_only",28.7105491384035,-24.0015388514776,69
"B_only",29.4753655650069,-23.0048106787622,70
"B_only",30.1869691152453,-21.96942108833,71
"B_only",30.8434093332503,-20.8982080110794,72
"B_only",31.4428869620129,-19.794107567596,73
"B_only",31.983758875022,-18.6601460204503,74
"B_only",32.4645425799594,-17.4994314794223,75
"B_only",32.8839202821089,-16.3151453823888,76
"B_only",33.2407424963394,-15.1105337752229,77
"B_only",33.5340311977641,-13.8888984146083,78
"B_only",33.7629825024387,-12.6535877181538,79
"B_only",33.9269688707513,-11.4079875866129,80
"B_only",34.0255408274648,-10.1555121233655,81
"B_only",34.0584281936976,-8.89959427659782,82
"B_only",34.0255408274648,-7.64367642983005,83
"B_only",33.9269688707513,-6.39120096658263,84
"B_only",33.7629825024387,-5.14560083504168,85
